trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
127,False,"{'a': 0.1999999999999997, 'e': 0.08045960674953244}",20,14,10.571835272982364,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.1999999999999997, 'e': 0.07886639979067495}",25,15,20.17627021887299,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.1999999999999997, 'e': 0.07730474044329974}",25,15,-4.1125119792862534,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.1999999999999997, 'e': 0.07577400402284548}",25,13,-0.8589465824502438,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.1999999999999997, 'e': 0.07427357821433388}",25,14,19.080833636207604,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.1999999999999997, 'e': 0.07280286282743559}",25,0,-1.2623230330771764,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
133,False,"{'a': 0.1999999999999997, 'e': 0.07136126955638605}",25,13,24.688640490294347,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.1999999999999997, 'e': 0.06994822174465536}",20,0,18.349980516681285,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
135,False,"{'a': 0.1999999999999997, 'e': 0.06856315415427791}",20,10,18.420643595450702,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.1999999999999997, 'e': 0.06720551273974976}",25,13,22.544260663917683,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.1999999999999997, 'e': 0.06587475442640295}",25,10,25.0879668494743,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.1999999999999997, 'e': 0.06457034689316847}",20,11,-25.892694411339235,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.1999999999999997, 'e': 0.0632917683596407}",20,1,-11.214469397188864,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.1999999999999997, 'e': 0.06203850737735829}",20,11,18.086193180691566,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.1999999999999997, 'e': 0.06081006262521795}",20,11,6.0929386320669225,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.1999999999999997, 'e': 0.05960594270893937}",30,14,26.563297831656225,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.1999999999999997, 'e': 0.05842566596450083}",35,13,39.644395755781,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.1999999999999997, 'e': 0.05726876026546736}",20,4,21.533604530958858,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.1999999999999997, 'e': 0.056134762834133725}",20,14,13.118087554083724,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.1999999999999997, 'e': 0.05502322005640723}",25,3,35.778187320677645,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.1999999999999997, 'e': 0.05393368730035602}",20,13,14.287801809413605,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.1999999999999997, 'e': 0.05286572873835037}",20,2,29.457845003335652,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.1999999999999997, 'e': 0.05181891717272583}",20,0,32.03980139441904,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.1999999999999997, 'e': 0.0507928338648985}",20,14,13.395305383286328,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.1999999999999997, 'e': 0.049787068367863944}",20,10,9.71058511124983,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.1999999999999997, 'e': 0.04880121836201296}",30,20,9.82238330737328,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.1999999999999997, 'e': 0.04783488949419837}",25,9,20.566709815416793,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.1999999999999997, 'e': 0.046887695219988486}",25,15,19.291515912317426,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.1999999999999997, 'e': 0.045959256649044204}",20,2,22.547922287272314,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
